2017-11-10 12:41:15,331 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: mx.gob.sep.dgtec.repuce:repuce-web:6.02.16.1-SNAPSHOT @ C:\Users\Administrador\REPUCE1718\repuceps\repuce-web\pom.xml.
2017-11-10 12:41:15,846 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer org.springframework:spring-test-mvc:1.0.0.BUILD-SNAPSHOT/maven-metadata.xml from http://jasperreports.sourceforge.net/maven2 was cached in the local repository, resolution will not be reattempted until the update interval of jasperreports has elapsed or updates are forced. Original error: Could not transfer metadata org.springframework:spring-test-mvc:1.0.0.BUILD-SNAPSHOT/maven-metadata.xml from/to jasperreports (http://jasperreports.sourceforge.net/maven2): Failed to transfer http://jasperreports.sourceforge.net/maven2/org/springframework/spring-test-mvc/1.0.0.BUILD-SNAPSHOT/maven-metadata.xml. Error code 307, Temporary Redirect
2017-11-10 12:41:16,002 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /repuce-web/src/main/java
2017-11-10 12:41:16,002 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /repuce-web/src/main/resources
2017-11-10 12:41:16,002 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /repuce-web/src/test/java
2017-11-10 12:41:16,189 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: mx.gob.sep.dgtec.repuce:repuceps:2.0.1-SNAPSHOT @ C:\Users\Administrador\REPUCE1718\repuceps\pom.xml.
2017-11-10 12:41:16,267 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mx.gob.sep.dgtec.seguridad:sep-seguridad:1.0.0-seguridad @ C:\Users\Administrador\REPUCE1718\repuceps\sep-seguridad\pom.xml.
2017-11-10 12:41:16,501 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mx.gob.sep.dgtec.repuce.datos:repuce-datos:2.0.1-SNAPSHOT-datos @ C:\Users\Administrador\REPUCE1718\repuceps\repuce-datos\pom.xml.
2017-11-10 12:41:16,579 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mx.gob.sep.dgtec.repuce.servicios:repuce-servicios:2.0.1-SNAPSHOT @ C:\Users\Administrador\REPUCE1718\repuceps\repuce-servicios\pom.xml.
2017-11-10 12:41:16,751 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Project import completed 23 sec
2017-11-10 12:41:17,343 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: mx.gob.sep.dgtec.repuce:repuce-web:6.02.16.1-SNAPSHOT @ C:\Users\Administrador\REPUCE1718\repuceps\repuce-web\pom.xml.
2017-11-10 12:41:21,524 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer org.springframework:spring-test-mvc:1.0.0.BUILD-SNAPSHOT/maven-metadata.xml from http://jasperreports.sourceforge.net/maven2 was cached in the local repository, resolution will not be reattempted until the update interval of jasperreports has elapsed or updates are forced. Original error: Could not transfer metadata org.springframework:spring-test-mvc:1.0.0.BUILD-SNAPSHOT/maven-metadata.xml from/to jasperreports (http://jasperreports.sourceforge.net/maven2): Failed to transfer http://jasperreports.sourceforge.net/maven2/org/springframework/spring-test-mvc/1.0.0.BUILD-SNAPSHOT/maven-metadata.xml. Error code 307, Temporary Redirect
2017-11-10 12:41:21,899 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-11-10 12:41:21,899 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-11-10 12:41:21,945 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mx.gob.sep.dgtec.repuce.servicios:repuce-servicios:2.0.1-SNAPSHOT @ C:\Users\Administrador\REPUCE1718\repuceps\repuce-servicios\pom.xml.
2017-11-10 12:41:29,340 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mx.gob.sep.dgtec.repuce.datos:repuce-datos:2.0.1-SNAPSHOT-datos @ C:\Users\Administrador\REPUCE1718\repuceps\repuce-datos\pom.xml.
2017-11-10 12:41:29,605 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mx.gob.sep.dgtec.seguridad:sep-seguridad:1.0.0-seguridad @ C:\Users\Administrador\REPUCE1718\repuceps\sep-seguridad\pom.xml.
2017-11-10 12:41:29,917 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mx.gob.sep.dgtec.repuce.datos:repuce-datos:2.0.1-SNAPSHOT-datos @ C:\Users\Administrador\REPUCE1718\repuceps\repuce-datos\pom.xml.
2017-11-10 12:41:30,135 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mx.gob.sep.dgtec.repuce.servicios:repuce-servicios:2.0.1-SNAPSHOT @ C:\Users\Administrador\REPUCE1718\repuceps\repuce-servicios\pom.xml.
2017-11-10 12:41:31,321 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mx.gob.sep.dgtec.seguridad:sep-seguridad:1.0.0-seguridad @ C:\Users\Administrador\REPUCE1718\repuceps\sep-seguridad\pom.xml.
2017-11-10 12:41:35,393 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mx.gob.sep.dgtec.repuce.datos:repuce-datos:2.0.1-SNAPSHOT-datos @ C:\Users\Administrador\REPUCE1718\repuceps\repuce-datos\pom.xml.
2017-11-10 12:41:35,689 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-11-10 12:41:35,689 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources to .
2017-11-10 12:41:35,783 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 172 resources to .
2017-11-10 12:41:36,453 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-11-10 12:41:36,453 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Administrador\REPUCE1718\repuceps\repuce-datos\src\test\resources
